"DHIScode","MFL Code","name","is_surge","WardDHISCode","wardname","SubCountyDHISCode","subcounty","CountyDHISCode","County","Partner"
"inyvsibkoml","10412","Kagwe Catholic Dispensary","","rq7Y1sxGfgN","Kamburu Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"YtsM0MqcxLu","10413","Kagwe Dispensary","","aR3qJ3GyWeP","Nyanduma Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","UON CRISSP+"
"rEzMVH8ATMz","10414","Kagwe Health Centre","","aR3qJ3GyWeP","Nyanduma Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"sPWZwK73E6j","10415","Kagwe Health Services Clinic","","aR3qJ3GyWeP","Nyanduma Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"ZJfoIsBfAXz","10424","Kahuho Private Dispensary","","LSpZcRA9tgp","Muguga Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"VfKRc68Bptb","10440","Kamae Forest Dispensary","","DnlusvsKIKj","Kinale Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"PZJ5zoO52xj","10448","Kamburu (PCEA) Dispensary","","rq7Y1sxGfgN","Kamburu Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"JwIIHdIF4pc","10498","Karirana Dispensary","","JbltwguSYWn","Limuru East Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"kdwV0QcbRXS","10518","Kereita Health Centre","","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"Jx1rr8D0XIw","10527","Kiahuria Medical Clinic","","ERl76hzXrr7","Kabete Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"HVOJPKtJhsG","10602","AIC Kijabe Hospital","","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"HO8XXXER1ZS","10603","Kikuyu (PCEA) Hospital","","cbYznphRVBi","Kikuyu Ward","jOVcLeZQSsS","Kikuyu","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"q3IEhLuhsMQ","10604","Kikuyu Nursing Home","","cbYznphRVBi","Kikuyu Ward","jOVcLeZQSsS","Kikuyu","qKzosKQPl6G","Kiambu","No Partner"
"FB1EWLohD2s","10610","Kimende Orthodox Dispensary","1","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"MBj0973fAGY","10613","Kinale Forest Dispensary","","DnlusvsKIKj","Kinale Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","UON CRISSP+"
"0","10623","Kireita Mission Dispensary","","","","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"MRLpJLKIxvF","10629","Kiriita Forest Dispensary","","oA6eNmEvCaj","Kijabe Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"al3IFUuaf1r","10654","Lankia (PCEA) Dispensary","","LSpZcRA9tgp","Muguga Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"v7AyMzU9144","10655","Lari Health Centre","1","NfJb3vThwG5","Lari/kirenga Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"DoFGg4toGRt","10661","Limuru Health Centre","","DwOhEdMGpB7","Limuru Central Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","UON CRISSP+"
"sCs9oYpFNQk","10662","Limuru Nursing Home","","DwOhEdMGpB7","Limuru Central Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","Aphia Plus HCM"
"AKhVrrqumM6","10666","Lussigetti Health Centre","","gFLRh6j7pBd","Nachu Ward","jOVcLeZQSsS","Kikuyu","qKzosKQPl6G","Kiambu","UON CRISSP+"
"tnsdmtyC7Of","10667","Mabroukie Dispensary","","JbltwguSYWn","Limuru East Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"IIw7XjguWks","10693","Marira Medical Clinic","","NfJb3vThwG5","Lari/kirenga Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"mANOeR6sGBi","10735","Most Precious Medical Clinic","","LSpZcRA9tgp","Muguga Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"RG4eEDBQ8tm","10825","Nazareth Hospital","","JbltwguSYWn","Limuru East Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"ZqF7NG3gANx","10831","Ndeiya Health Centre","1","lRFhjTLImNu","Ndeiya Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"mfq85Lxst3W","10841","Nduriri (AIC) Dispensary","","aR3qJ3GyWeP","Nyanduma Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"MFaPfIjjBOm","10858","Ngarariga Dispensary","","cSNzNEfbQfk","Bibirioni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"cUDTYXvPnuD","10859","Ngarariga Health Centre","","cSNzNEfbQfk","Bibirioni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"wW22sYeXYHK","10862","Ngecha Orthodox Dispensary","","tp0mFiSv7ar","Ngecha Tigoni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"VsubFRDKyLR","10895","Nyathuna Health Centre","","S5vdlHabZzv","Nyathuna Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","UON CRISSP+"
"VACHFLENtRk","16490","ORTHODOX MATERNITY &HEALTH CENTER","","gFLRh6j7pBd","Nachu Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"0","10946","Primary Health Medical Clinic","","","","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"NfzGiI9hHqc","10951","Ragia Forest Dispensary","","DnlusvsKIKj","Kinale Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"Ubea3ljWQK5","10952","Ramos Medical Clinic","","ERl76hzXrr7","Kabete Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"ZWIpQ03M1WL","10968","Ruby Medical Clinic.","","P3TwXvbGu0Y","Gitaru Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"ZJX5Xxqq16T","11008","Shwak Medical Clinic.","","LSpZcRA9tgp","Muguga Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"0","11022","St Angela Kingeero Clinic","","","","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"hCCacTXjCYp","11030","St Charles Lwanga Clinic","","DwOhEdMGpB7","Limuru Central Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"vkW4oumgwXp","11063","St Paul Theological Dispensary","","tp0mFiSv7ar","Ngecha Tigoni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"ndLPyy5tvyf","11066","St Peters (ACK) Medical Clinic","","AJKSRemTmee","Uthiru Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","No Partner"
"r46AQF1KZv5","11071","St Teresa Nursing Home","","cbYznphRVBi","Kikuyu Ward","jOVcLeZQSsS","Kikuyu","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"MwB5N2PGW7e","11093","Thigio Dispensary (Kiambu West)","","lRFhjTLImNu","Ndeiya Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","CHAK-CDC HIV-AIDS Program"
"jyOgldxx4Ok","11104","Tigoni District Hospital","1","tp0mFiSv7ar","Ngecha Tigoni Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"VB0EKd5lpaT","11138","Uplands Dispensary","","NfJb3vThwG5","Lari/kirenga Ward","nCziQtZ49jj","Lari","qKzosKQPl6G","Kiambu","No Partner"
"Aor4slMUZ22","11141","Uthiru Dispensary","1","AJKSRemTmee","Uthiru Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","Afya Kamilisha"
"OgKxzrPyq6n","11170","Wangige Health Centre","","ERl76hzXrr7","Kabete Ward","lb5LzWiUX8Y","Kabete","qKzosKQPl6G","Kiambu","UON CRISSP+"
"V2lQNV5EQ3P","11174","Wanjoroge Medical Clinic.","","oA6eNmEvCaj","Kijabe Ward","xhVi71INcFs","Limuru","qKzosKQPl6G","Kiambu","No Partner"
"XAMGJHHlBBF","10001","Abel Migwi Johana Laboratory","","LAhI3yCEdB1","Kariti Ward","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"AHVO3pGtUmT","10004","Abrahams Clinic","","BSHD4ORT4xu","Kiine Ward","A34NiI4rgnf","Kirinyaga West","Ulj33KBau7V","Kirinyaga","No Partner"
"UFcAlw0DpFu","10005","Afya B Clinic (Kibirigwi)","","BSHD4ORT4xu","Kiine Ward","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"lg1rCIPbHfu","10011","Afya Bora Clinic (Mwea)","","qrCcjRw4mdw","Tebere Ward","f6EOn3xI9YH","Kirinyaga North/Mwea West","Ulj33KBau7V","Kirinyaga","No Partner"
"iTH2FlVyfE7","16491","Afya Bora Medical Clinic (CFW Clinic Gichugu)","","hnLq51q52zo","Njukiine Ward","yOaHQLOLd1H","Kirinyaga East","Ulj33KBau7V","Kirinyaga","No Partner"
"BdLHs7735de","10007","Afya Bora Medical Clinic (Muchagara)","","jlthZ0Rz41H","Karumandi Ward","yOaHQLOLd1H","Kirinyaga East","Ulj33KBau7V","Kirinyaga","No Partner"
"aVPrkIutAPp","10012","Afya Medical Clinic (Kibingoti)","","BSHD4ORT4xu","Kiine Ward","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"qtG0bLpXIP9","10006","Afya Medical Clinic (Kirinyaga)","","qrCcjRw4mdw","Tebere Ward","jHmpQUlnkQk","Kirinyaga South","Ulj33KBau7V","Kirinyaga","No Partner"
"YHcQHZrHqAN","10025","Amani Clinic (Kamugunda)","","zY1T5H8vk9z","Baragwi Ward","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"0","10028","Amos Wanjohi Clinic","","","","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"0","10030","Ann Mwaniki Clinic","","","","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
"D5vZ88IFIaK","16492","Apha Laboratory","","LAhI3yCEdB1","Kariti Ward","A34NiI4rgnf","Kirinyaga West","Ulj33KBau7V","Kirinyaga","No Partner"
"eulWzIq7SMk","10045","Baragwi Maternity Clinic Kamwana","","zY1T5H8vk9z","Baragwi Ward","JKNaaTjVapG","Kirinyaga Central","Ulj33KBau7V","Kirinyaga","No Partner"
